case,split,cores,baseline_no_l2_makespan_cycles,baseline_l2_makespan_cycles,final_no_l2_makespan_cycles,final_l2_makespan_cycles,hardware_baseline_ratio,hardware_final_ratio,schedule_no_l2_ratio,schedule_l2_ratio,l2_strict_improvement
case_026,validation,3,54100,52720,53226,52354,1.0261760242792108,1.0166558429155366,1.0164205463495284,1.006990869847576,True
case_026,validation,4,54100,52720,53226,52354,1.0261760242792108,1.0166558429155366,1.0164205463495284,1.006990869847576,True
case_026,validation,5,54100,52720,53226,52354,1.0261760242792108,1.0166558429155366,1.0164205463495284,1.006990869847576,True
case_027,validation,1,2363952,2359515,2363952,2359515,1.0018804711985303,1.0018804711985303,1.0,1.0,False
case_027,validation,2,1120962,1120962,1120962,1120962,1.0,1.0,1.0,1.0,False
case_027,validation,3,744579,744579,744579,744579,1.0,1.0,1.0,1.0,False
case_027,validation,4,559196,559196,559196,559196,1.0,1.0,1.0,1.0,False
case_027,validation,5,559196,559196,559196,559196,1.0,1.0,1.0,1.0,False
case_028,holdout,1,43836040,43836040,43836040,43836040,1.0,1.0,1.0,1.0,False
case_028,holdout,2,20313124,20306800,20313124,20306800,1.000311422774637,1.000311422774637,1.0,1.0,False
case_028,holdout,3,13692563,13692576,13658985,13658998,0.9999990505804021,0.999999048246438,1.0024583085785657,1.0024583062388617,True
case_028,holdout,4,10209084,10204835,10209084,10204835,1.00041637125931,1.00041637125931,1.0,1.0,False
case_028,holdout,5,8157094,8154941,8157094,8154941,1.0002640117200112,1.0002640117200112,1.0,1.0,False
case_029,holdout,1,37555,37555,37555,37555,1.0,1.0,1.0,1.0,False
case_029,holdout,2,20818,20656,20818,20656,1.007842757552285,1.007842757552285,1.0,1.0,False
case_029,holdout,3,12743,12743,12743,12743,1.0,1.0,1.0,1.0,False
case_029,holdout,4,12683,12006,12683,12006,1.0563884724304515,1.0563884724304515,1.0,1.0,False
case_029,holdout,5,12683,12006,12683,12006,1.0563884724304515,1.0563884724304515,1.0,1.0,False
case_030,holdout,1,2808034,2807891,2808034,2807891,1.0000509279028282,1.0000509279028282,1.0,1.0,False
