case,cores,baseline_l2_makespan,winner_l2_makespan,winner,strict_improvement,l2_ordering_speedup,official_calls,candidate_cache_hits,generation_failures,evaluation_failures
case_036,4,233584,233584,baseline,False,1.0,0,0,0,0
case_036,5,187182,187182,baseline,False,1.0,0,0,0,0
case_037,2,125692,120651,reuse_window,True,1.0417816677855964,1,0,0,0
case_037,3,87034,87034,baseline,False,1.0,0,0,0,0
case_037,4,67669,67669,baseline,False,1.0,1,0,0,0
case_037,5,43013,43013,baseline,False,1.0,1,0,0,0
case_038,2,933300,931959,reuse_window,True,1.0014389045011636,1,0,0,0
case_038,3,699275,697347,reuse_window,True,1.002764764170492,1,0,0,0
case_038,4,690381,687987,reuse_window,True,1.0034797169132557,1,0,0,0
case_038,5,690381,687987,reuse_window,True,1.0034797169132557,1,0,0,0
case_039,2,865287,865287,baseline,False,1.0,0,0,0,0
case_039,3,688780,688780,baseline,False,1.0,0,0,0,0
case_039,4,536614,536614,baseline,False,1.0,0,0,0,0
case_039,5,504978,504978,baseline,False,1.0,1,0,0,0
case_040,2,145181,145181,balanced_window,False,1.0,2,0,0,0
case_040,3,127290,127290,balanced_window,False,1.0,2,0,0,0
case_040,4,123583,123583,balanced_window,False,1.0,2,0,0,0
case_040,5,121292,121292,balanced_window,False,1.0,2,0,0,0
case_041,2,3711448,3711448,baseline,False,1.0,0,0,0,0
case_041,3,3303843,3303843,baseline,False,1.0,2,0,0,0
case_041,4,2174005,2174005,baseline,False,1.0,1,0,0,0
case_041,5,2092348,2035206,reuse_window,True,1.0280767647107958,1,0,0,0
case_042,2,987913,973036,reuse_window,True,1.0152892595957395,1,0,0,0
case_042,3,718021,715422,reuse_window,True,1.0036328209084988,2,0,0,0
case_042,4,570008,570008,baseline,False,1.0,2,0,0,0
case_042,5,485853,485853,baseline,False,1.0,1,0,0,0
case_043,2,340755,340755,baseline,False,1.0,1,0,0,0
case_043,3,264463,264463,baseline,False,1.0,2,0,0,0
case_043,4,244783,243939,balanced_window,True,1.0034598813637836,2,0,0,0
case_043,5,222762,222762,baseline,False,1.0,2,0,0,0
case_044,2,55027,55027,baseline,False,1.0,2,0,0,0
case_044,3,55027,55027,baseline,False,1.0,2,0,0,0
case_044,4,55027,55027,baseline,False,1.0,2,0,0,0
case_044,5,55027,55027,baseline,False,1.0,2,0,0,0
case_045,2,78563,78563,balanced_window,False,1.0,2,0,0,0
case_045,3,45671,43176,balanced_window,True,1.057786733370391,2,0,0,0
case_045,4,39561,39561,balanced_window,False,1.0,2,0,0,0
case_045,5,29147,27098,reuse_window,True,1.075614436489778,1,0,0,0
case_046,2,112634,112634,baseline,False,1.0,0,0,0,0
case_046,3,84855,79812,balanced_window,True,1.0631859870696136,2,0,0,0
case_046,4,80768,80768,baseline,False,1.0,1,0,0,0
case_046,5,80768,80768,baseline,False,1.0,1,0,0,0
case_047,2,250591,250172,balanced_window,True,1.0016748477047792,2,0,0,0
case_047,3,230391,230391,baseline,False,1.0,2,0,0,0
case_047,4,209240,209240,baseline,False,1.0,2,0,0,0
case_047,5,201403,201403,baseline,False,1.0,2,0,0,0
case_048,2,164258,164258,baseline,False,1.0,1,0,0,0
case_048,3,151760,151760,balanced_window,False,1.0,2,0,0,0
case_048,4,151760,151760,balanced_window,False,1.0,2,0,0,0
case_048,5,151760,151760,balanced_window,False,1.0,2,0,0,0
case_049,2,120478,120478,baseline,False,1.0,2,0,0,0
case_049,3,97823,97823,baseline,False,1.0,2,0,0,0
case_049,4,85900,85578,balanced_window,True,1.0037626492790204,2,0,0,0
case_049,5,83290,83290,baseline,False,1.0,2,0,0,0
case_050,2,81855,81210,reuse_window,True,1.0079423716291098,2,0,0,0
case_050,3,53236,53236,baseline,False,1.0,1,0,0,0
case_050,4,44398,43854,balanced_window,True,1.0124047977379487,2,0,0,0
case_050,5,39979,39562,balanced_window,True,1.010540417572418,2,0,0,0
case_051,2,607628,607628,baseline,False,1.0,0,0,0,0
case_051,3,607628,607628,baseline,False,1.0,0,0,0,0
case_051,4,607628,607628,baseline,False,1.0,0,0,0,0
case_051,5,607628,607628,baseline,False,1.0,0,0,0,0
case_052,2,96545,96545,baseline,False,1.0,1,0,0,0
case_052,3,69389,69389,baseline,False,1.0,2,0,0,0
case_052,4,61006,59151,reuse_window,True,1.0313604165610049,1,0,0,0
case_052,5,55471,55471,baseline,False,1.0,2,0,0,0
case_053,2,759149,759149,baseline,False,1.0,2,0,0,0
case_053,3,584699,584699,baseline,False,1.0,2,0,0,0
case_053,4,492668,492668,balanced_window,False,1.0,2,0,0,0
case_053,5,465737,465737,baseline,False,1.0,2,0,0,0
case_054,2,485507,485507,baseline,False,1.0,2,0,0,0
