case,cores,split,winner,winner_family,makespan_cycles,stage1_makespan_cycles,added_copy_bytes,stage1_added_copy_bytes,spill_added_copy_bytes,stage1_spill_added_copy_bytes,cross_task_traffic_bytes,cross_core_transfer_count,used_core_count,group_wall_seconds,gain_pct,copy_delta_mib,spill_delta_mib,speedup
case_024,3,development,stage1_actual_winner,verified_stage1_global_fallback,2555343,2555343,0,0,0,0,0,0,1,9.839511333033442,0.0,0.0,0.0,1.0
case_024,4,development,stage1_actual_winner,verified_stage1_global_fallback,2555343,2555343,0,0,0,0,0,0,1,11.216797593981028,0.0,0.0,0.0,1.0
case_024,5,development,stage1_actual_winner,verified_stage1_global_fallback,2555343,2555343,0,0,0,0,0,0,1,13.358545798808336,0.0,0.0,0.0,1.0
case_025,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,4863026,4863026,0,0,0,0,0,0,1,1.9200286325067282,0.0,0.0,0.0,1.0
case_025,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,2972392,2972392,18301440,18301440,11410944,11410944,2744832,894,2,240.9413627628237,0.0,0.0,0.0,1.636064825904524
case_025,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,2049989,2049989,18369024,18369024,10025472,10025472,3317760,1081,3,553.2150287143886,0.0,0.0,0.0,2.372220533866279
case_025,4,holdout,map_locality@b1,scene_b_fixed_partition_mapping,1560638,1560638,17826816,18659328,5007360,2912256,5096448,1661,4,760.312465550378,0.0,-0.7939453125,1.998046875,3.116049974433533
case_025,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,975534,975534,264192,264192,0,0,67584,22,5,1291.6849990282208,0.0,0.0,0.0,4.984988734375224
case_026,1,validation,stage1_actual_winner,verified_stage1_global_fallback,99203,99203,0,0,0,0,0,0,1,0.05562681891024113,0.0,0.0,0.0,1.0
case_026,2,validation,stage1_actual_winner,verified_stage1_global_fallback,64737,64737,1162372,1162372,218624,218624,317186,59,2,1.512397451326251,0.0,0.0,0.0,1.532400327478876
case_026,3,validation,stage1_actual_winner,verified_stage1_global_fallback,54100,54100,1137420,1137420,98304,98304,360198,79,3,2.6453213915228844,0.0,0.0,0.0,1.8336968576709796
case_026,4,validation,stage1_actual_winner,verified_stage1_global_fallback,54100,54100,1137420,1137420,98304,98304,360198,79,3,3.7773383110761642,0.0,0.0,0.0,1.8336968576709796
case_026,5,validation,stage1_actual_winner,verified_stage1_global_fallback,54100,54100,1137420,1137420,98304,98304,360198,79,3,3.9183339327573776,0.0,0.0,0.0,1.8336968576709796
case_027,1,validation,stage1_actual_winner,verified_stage1_global_fallback,2363952,2363952,1400832,1400832,1400832,1400832,0,0,1,0.1329349521547556,0.0,0.0,0.0,1.0
case_027,2,validation,stage1_actual_winner,verified_stage1_global_fallback,1120962,1120962,1744896,1744896,638976,638976,0,0,2,3.4645258132368326,0.0,0.0,0.0,2.10886006840553
case_027,3,validation,stage1_actual_winner,verified_stage1_global_fallback,744579,744579,3883008,3883008,0,0,98304,8,3,6.5572837591171265,0.0,0.0,0.0,3.174884062000137
case_027,4,validation,stage1_actual_winner,verified_stage1_global_fallback,559196,559196,3317760,3317760,0,0,0,0,4,8.576636711135507,0.0,0.0,0.0,4.227412213249022
case_027,5,validation,stage1_actual_winner,verified_stage1_global_fallback,559196,559196,3317760,3317760,0,0,0,0,4,9.503017028793693,0.0,0.0,0.0,4.227412213249022
case_028,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,43836040,43836040,277412256,277412256,277412256,277412256,0,0,1,1.949904778972268,0.0,0.0,0.0,1.0
case_028,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,20313124,20313124,33610752,33610752,12192768,12192768,9639936,1491,2,74.69282186962664,0.0,0.0,0.0,2.1580156749892336
case_028,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,13692563,13692563,25918464,25918464,17379840,17379840,2131200,943,3,79.6220625564456,0.0,0.0,0.0,3.201448844894853
case_028,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,10209084,10209084,33845760,33845760,6237696,6237696,10596864,2102,4,106.78371105343103,0.0,0.0,0.0,4.293826948627321
case_028,5,holdout,map_locality@b2a_w16,scene_b_fixed_partition_mapping,8156752,8157094,39562752,41620992,3926016,2463744,13542144,2609,5,140.82565042376518,0.004192669595324021,-1.962890625,1.39453125,5.374202868985106
case_029,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,37555,37555,0,0,0,0,0,0,1,0.07278326712548733,0.0,0.0,0.0,1.0
case_029,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,20818,20818,778492,778492,0,0,344190,231,2,2.5433300025761127,0.0,0.0,0.0,1.8039677202420983
case_029,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,12743,12743,0,0,0,0,0,0,3,4.331820668652654,0.0,0.0,0.0,2.9471082162756024
case_029,4,holdout,map_locality@b1,scene_b_fixed_partition_mapping,12408,12683,239710,292992,0,0,77862,57,4,5.7264908496290445,2.168256721595837,-0.05081367492675781,0.0,3.0266763378465504
case_029,5,holdout,inherit_final_k4,recursive_final_winner_inheritance,12408,12683,239710,292992,0,0,77862,57,4,8.242641622200608,2.168256721595837,-0.05081367492675781,0.0,3.0266763378465504
case_030,1,holdout,stage1_actual_winner,verified_stage1_global_fallback,2808034,2808034,5519360,5519360,5519360,5519360,0,0,1,0.932012639939785,0.0,0.0,0.0,1.0
case_030,2,holdout,stage1_actual_winner,verified_stage1_global_fallback,2079367,2079367,62935040,62935040,27154432,27154432,17890304,3696,2,76.40374198555946,0.0,0.0,0.0,1.3504273175442334
case_030,3,holdout,stage1_actual_winner,verified_stage1_global_fallback,1580290,1580290,60070912,60070912,12669952,12669952,23700480,4898,3,117.9735919944942,0.0,0.0,0.0,1.7769105670478202
case_030,4,holdout,stage1_actual_winner,verified_stage1_global_fallback,1344466,1344466,59923456,59923456,11955200,11955200,23979520,4986,4,145.39037767797709,0.0,0.0,0.0,2.088586844144813
case_030,5,holdout,stage1_actual_winner,verified_stage1_global_fallback,1344466,1344466,59923456,59923456,11955200,11955200,23979520,4986,4,200.14334996975958,0.0,0.0,0.0,2.088586844144813
case_031,1,validation,stage1_actual_winner,verified_stage1_global_fallback,1414369,1414369,3491328,3491328,3491328,3491328,0,0,1,0.5130168069154024,0.0,0.0,0.0,1.0
case_031,2,validation,stage1_actual_winner,verified_stage1_global_fallback,857984,857984,15429704,15429704,6500224,6500224,4422754,1118,2,26.201515793800354,0.0,0.0,0.0,1.648479458824407
case_031,3,validation,map_locality@b2a_w4,scene_b_fixed_partition_mapping,657059,657311,14720456,14732488,2847424,2844352,5865218,1481,3,37.70201637595892,0.038338016555329216,-0.011474609375,0.0029296875,2.1525753395052805
