case,cores,t_i_1,final_makespan,final_speedup,final_added_copy_bytes,officially_measured
case_074,5,1682239,491359,3.423645440502769,14975280,True
case_075,5,1441809,773824,1.8632260048796625,4173144,True
case_076,5,6185113,2141370,2.888390609749833,54043652,True
case_077,5,495320,166614,2.9728594235778507,4697690,True
case_078,5,2296143,561557,4.088886791545649,15580032,True
case_079,5,31052251,7723180,4.020656128693103,35672064,True
case_080,5,292138,119704,2.4405032413286105,4263936,True
case_081,5,151795,52379,2.898012562286413,944662,True
case_082,5,721041,264804,2.722923369737617,4552362,True
case_083,5,1057993,277053,3.8187386528931286,10754400,True
case_084,5,2507412,505173,4.963471919520639,92160,True
case_085,5,3187899,1881266,1.694549840373451,12096030,True
case_086,5,118403,75245,1.573566349923583,2084406,True
case_087,5,3974071,1221168,3.25431963497242,37435656,True
case_088,5,243623,107912,2.257608051004522,3010236,True
case_089,5,693092,168448,4.114575417933131,3029120,True
case_090,5,1178363,400988,2.938649036878909,15932928,True
case_091,5,9186769,3077910,2.9847425688210505,48851592,True
case_092,5,4815554,897210,5.367254043089132,19279200,True
case_093,5,74205,23720,3.128372681281619,286720,True
case_094,5,94892,29604,3.2053776516686936,831012,True
case_095,5,2084853,424998,4.90555955557438,294912,True
case_096,5,84194,41212,2.0429486557313403,1414928,True
case_097,5,11491509,2583836,4.447460674748707,14483456,True
case_098,5,177430,94026,1.8870312466764512,2386102,True
case_099,5,1622999,551115,2.9449370820972027,16194176,True
case_100,5,151223,75870,1.9931857124027943,2663792,True
