case,cores,t_i_1,old_winner,old_makespan,old_added_copy_bytes,old_speedup,projected_fallback_source_cores,projected_fallback_makespan,projected_fallback_added_copy_bytes,pre_reevaluation_projected_winner,pre_reevaluation_projected_makespan,pre_reevaluation_projected_added_copy_bytes,pre_reevaluation_projected_speedup,measured_fallback_best_source_cores,measured_fallback_makespan,measured_fallback_added_copy_bytes,final_winner,final_makespan,final_added_copy_bytes,final_speedup,reported_value_kind,officially_measured,makespan_improvement,added_copy_bytes_change,projection_makespan_error,projection_added_copy_bytes_error,fallback_group_status
case_017,3,162810,b2a_w4,79783,2091028,2.0406602910394445,2,95785,2032660,b2a_w4,79783,2091028,2.0406602910394445,2,95785,2032660,b2a_w4,79783,2091028,2.0406602910394445,officially_measured_after_fallback,True,0,0,0,0,success
case_017,4,162810,b2a_w4,79737,2149396,2.0418375409157608,3,79783,2091028,b2a_w4,79737,2149396,2.0418375409157608,3,79783,2091028,b2a_w4,79737,2149396,2.0418375409157608,officially_measured_after_fallback,True,0,0,0,0,success
case_017,5,162810,b1,62170,936404,2.618787196396976,4,79737,2149396,b1,62170,936404,2.618787196396976,4,79737,2149396,b1,62170,936404,2.618787196396976,officially_measured_after_fallback,True,0,0,0,0,success
case_018,1,1004367,single_core_baseline,1004367,1970176,1.0,,,,single_core_baseline,1004367,1970176,1.0,,,,single_core_baseline,1004367,1970176,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_018,2,1004367,b2a_w4,613121,9836456,1.6381220020191773,,,,b2a_w4,613121,9836456,1.6381220020191773,,,,b2a_w4,613121,9836456,1.6381220020191773,officially_measured_original,True,0,0,0,0,not_applicable
case_018,3,1004367,b2a_w4,467483,9836456,2.148456735325135,2,613121,9836456,b2a_w4,467483,9836456,2.148456735325135,2,613121,9836456,b2a_w4,467483,9836456,2.148456735325135,officially_measured_after_fallback,True,0,0,0,0,success
case_018,4,1004367,b2a_w4,393004,9836456,2.5556152100233076,3,467483,9836456,b2a_w4,393004,9836456,2.5556152100233076,3,467483,9836456,b2a_w4,393004,9836456,2.5556152100233076,officially_measured_after_fallback,True,0,0,0,0,success
case_018,5,1004367,b2a_w4,323742,9836456,3.102368552736438,4,393004,9836456,b2a_w4,323742,9836456,3.102368552736438,4,393004,9836456,b2a_w4,323742,9836456,3.102368552736438,officially_measured_after_fallback,True,0,0,0,0,success
case_019,1,81144,single_core_baseline,81144,0,1.0,,,,single_core_baseline,81144,0,1.0,,,,single_core_baseline,81144,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_019,2,81144,b2a_w4,46216,1040000,1.7557555824822573,,,,b2a_w4,46216,1040000,1.7557555824822573,,,,b2a_w4,46216,1040000,1.7557555824822573,officially_measured_original,True,0,0,0,0,not_applicable
case_019,3,81144,b2a_w4,39913,1042592,2.033021822463859,2,46216,1040000,b2a_w4,39913,1042592,2.033021822463859,2,46216,1040000,b2a_w4,39913,1042592,2.033021822463859,officially_measured_after_fallback,True,0,0,0,0,success
case_019,4,81144,b1,27047,266552,3.0001109180315746,3,39913,1042592,b1,27047,266552,3.0001109180315746,3,39913,1042592,b1,27047,266552,3.0001109180315746,officially_measured_after_fallback,True,0,0,0,0,success
case_019,5,81144,b1,24792,378136,3.2729912875121006,4,27047,266552,b1,24792,378136,3.2729912875121006,4,27047,266552,b1,24792,378136,3.2729912875121006,officially_measured_after_fallback,True,0,0,0,0,success
case_020,1,532746,single_core_baseline,532746,0,1.0,,,,single_core_baseline,532746,0,1.0,,,,single_core_baseline,532746,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_020,2,532746,b0,267708,0,1.9900264467255369,,,,b0,267708,0,1.9900264467255369,,,,b0,267708,0,1.9900264467255369,officially_measured_original,True,0,0,0,0,not_applicable
case_020,3,532746,b0,179492,0,2.96807657165779,2,267708,0,b0,179492,0,2.96807657165779,2,267708,0,b0,179492,0,2.96807657165779,officially_measured_after_fallback,True,0,0,0,0,success
case_020,4,532746,b0,135660,0,3.9270676691729323,3,179492,0,b0,135660,0,3.9270676691729323,3,179492,0,b0,135660,0,3.9270676691729323,officially_measured_after_fallback,True,0,0,0,0,success
case_020,5,532746,b1,139208,598016,3.8269783345784725,4,135660,0,inherit_k4,135660,0,3.9270676691729323,4,135660,0,inherit_k4,135660,0,3.9270676691729323,officially_measured_after_fallback,True,3548,-598016,0,0,success
case_021,1,6567937,single_core_baseline,6567937,4501504,1.0,,,,single_core_baseline,6567937,4501504,1.0,,,,single_core_baseline,6567937,4501504,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_021,2,6567937,b0,3102580,6656000,2.1169275248341703,,,,b0,3102580,6656000,2.1169275248341703,,,,b0,3102580,6656000,2.1169275248341703,officially_measured_original,True,0,0,0,0,not_applicable
case_021,3,6567937,b2a_w4,2822635,72744960,2.3268814423402246,2,3102580,6656000,b2a_w4,2822635,72744960,2.3268814423402246,2,3102580,6656000,b2a_w4,2822635,72744960,2.3268814423402246,officially_measured_after_fallback,True,0,0,0,0,success
case_021,4,6567937,b0,1557596,9523200,4.216714090174859,3,2822635,72744960,b0,1557596,9523200,4.216714090174859,3,2822635,72744960,b0,1557596,9523200,4.216714090174859,officially_measured_after_fallback,True,0,0,0,0,success
case_021,5,6567937,b0,1249504,8908800,5.256435353548288,4,1557596,9523200,b0,1249504,8908800,5.256435353548288,4,1557596,9523200,b0,1249504,8908800,5.256435353548288,officially_measured_after_fallback,True,0,0,0,0,success
case_022,1,56780,single_core_baseline,56780,0,1.0,,,,single_core_baseline,56780,0,1.0,,,,single_core_baseline,56780,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_022,2,56780,b2a_w4,34100,1346040,1.6651026392961876,,,,b2a_w4,34100,1346040,1.6651026392961876,,,,b2a_w4,34100,1346040,1.6651026392961876,officially_measured_original,True,0,0,0,0,not_applicable
case_022,3,56780,b2a_w4,29789,1346040,1.9060727114035383,2,34100,1346040,b2a_w4,29789,1346040,1.9060727114035383,2,34100,1346040,b2a_w4,29789,1346040,1.9060727114035383,officially_measured_after_fallback,True,0,0,0,0,success
case_022,4,56780,b2a_w4,28322,1346040,2.0048019207683074,3,29789,1346040,b2a_w4,28322,1346040,2.0048019207683074,3,29789,1346040,b2a_w4,28322,1346040,2.0048019207683074,officially_measured_after_fallback,True,0,0,0,0,success
case_022,5,56780,b2a_w4,28919,1346040,1.9634150558456378,4,28322,1346040,inherit_k4,28322,1346040,2.0048019207683074,4,28322,1346040,inherit_k4,28322,1346040,2.0048019207683074,officially_measured_after_fallback,True,597,0,0,0,success
case_023,1,122614,single_core_baseline,122614,0,1.0,,,,single_core_baseline,122614,0,1.0,,,,single_core_baseline,122614,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_023,2,122614,b2a_w4,72315,1782584,1.6955541727165873,,,,b2a_w4,72315,1782584,1.6955541727165873,,,,b2a_w4,72315,1782584,1.6955541727165873,officially_measured_original,True,0,0,0,0,not_applicable
case_023,3,122614,b2a_w4,52621,1791800,2.330134357005758,2,72315,1782584,b2a_w4,52621,1791800,2.330134357005758,2,72315,1782584,b2a_w4,52621,1791800,2.330134357005758,officially_measured_after_fallback,True,0,0,0,0,success
case_023,4,122614,b2a_w4,43979,1840952,2.788012460492508,3,52621,1791800,b2a_w4,43979,1840952,2.788012460492508,3,52621,1791800,b2a_w4,43979,1840952,2.788012460492508,officially_measured_after_fallback,True,0,0,0,0,success
case_023,5,122614,b2a_w4,43602,1890104,2.8121187101509104,4,43979,1840952,b2a_w4,43602,1890104,2.8121187101509104,4,43979,1840952,b2a_w4,43602,1890104,2.8121187101509104,officially_measured_after_fallback,True,0,0,0,0,success
case_024,1,2555343,single_core_baseline,2555343,0,1.0,,,,single_core_baseline,2555343,0,1.0,,,,single_core_baseline,2555343,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_024,2,2555343,single,2555343,0,1.0,,,,single,2555343,0,1.0,,,,single,2555343,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_024,3,2555343,single,2555343,0,1.0,2,2555343,0,single,2555343,0,1.0,2,2555343,0,single,2555343,0,1.0,officially_measured_after_fallback,True,0,0,0,0,success
case_024,4,2555343,single,2555343,0,1.0,2,2555343,0,single,2555343,0,1.0,2,2555343,0,single,2555343,0,1.0,officially_measured_after_fallback,True,0,0,0,0,success
case_024,5,2555343,single,2555343,0,1.0,2,2555343,0,single,2555343,0,1.0,2,2555343,0,single,2555343,0,1.0,officially_measured_after_fallback,True,0,0,0,0,success
case_025,1,4863026,single_core_baseline,4863026,0,1.0,,,,single_core_baseline,4863026,0,1.0,,,,single_core_baseline,4863026,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
case_025,2,4863026,b1,2969082,20616192,1.637888748104633,,,,b1,2969082,20616192,1.637888748104633,,,,b1,2969082,20616192,1.637888748104633,officially_measured_original,True,0,0,0,0,not_applicable
case_025,3,4863026,b1,2051388,20699136,2.3706027333688215,2,2969082,20616192,b1,2051388,20699136,2.3706027333688215,2,2969082,20616192,b1,2051388,20699136,2.3706027333688215,officially_measured_after_fallback,True,0,0,0,0,success
case_025,4,4863026,b1,1562605,20795904,3.112127505031662,3,2051388,20699136,b1,1562605,20795904,3.112127505031662,3,2051388,20699136,b1,1562605,20795904,3.112127505031662,officially_measured_after_fallback,True,0,0,0,0,success
case_025,5,4863026,b0,979918,694272,4.962686673782908,4,1562605,20795904,b0,979918,694272,4.962686673782908,4,1562605,20795904,b0,979918,694272,4.962686673782908,officially_measured_after_fallback,True,0,0,0,0,success
case_026,1,99203,single_core_baseline,99203,0,1.0,,,,single_core_baseline,99203,0,1.0,,,,single_core_baseline,99203,0,1.0,officially_measured_original,True,0,0,0,0,not_applicable
