case,makespan_k1,makespan_k2,makespan_k3,makespan_k4,makespan_k5,added_copy_bytes_k1,added_copy_bytes_k2,added_copy_bytes_k3,added_copy_bytes_k4,added_copy_bytes_k5,speedup_k1,speedup_k2,speedup_k3,speedup_k4,speedup_k5
case_050,149690,98315,75193,67066,64330,0,2499756,2598792,2694180,2744404,1.0,1.5225550526369322,1.990743819238493,2.231980437181284,2.32690812995492
case_051,607628,607628,607628,607628,607628,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
case_052,180301,108708,88831,82250,72062,0,726294,2746432,2801728,2857024,1.0,1.6585807852227987,2.029708097398431,2.1921094224924014,2.502026033138131
case_053,1472686,765799,588970,494780,494780,5405536,3596396,5521516,7431276,7431276,1.0,1.9230711975335564,2.500443146510009,2.9764460972553457,2.9764460972553457
case_054,815051,517697,440388,365690,309877,0,6563522,6895214,7141466,7332666,1.0,1.5743784491700743,1.850756605538752,2.2288030845798352,2.630240385701424
case_055,118835,71645,60780,52781,46207,69632,1977060,2001636,2018020,894358,1.0,1.6586642473305884,1.955166173083251,2.2514730679600614,2.5717964810526546
case_056,277285,210518,182132,164272,160648,0,2913858,3059426,3187008,3267474,1.0,1.3171557776532172,1.5224397689587772,1.6879626473166456,1.726040784821473
case_057,59726,35529,28308,26544,26476,94216,1124990,1137280,1153668,1165960,1.0,1.6810492836837514,2.109862936272432,2.250075346594334,2.255854358664451
case_058,4539717,3875932,1529236,1529236,972688,28696576,122425344,34037760,34037760,39665664,1.0,1.171258164487922,2.968617662676003,2.968617662676003,4.667187217278305
case_059,829473,370884,370884,187820,187820,1691648,5046272,5046272,5406720,5406720,1.0,2.2364755556993563,2.2364755556993563,4.416318815887552,4.416318815887552
case_060,888789,552794,427246,388078,331141,2068520,5445690,6721662,7163986,8007770,1.0,1.6078123134476858,2.080274595900254,2.2902328913259704,2.6840197982128458
case_061,77191,55008,42307,41145,40974,0,221910,1338952,1338952,1338952,1.0,1.4032686154741127,1.8245444016356631,1.8760724267833275,1.883901986625665
case_062,2854809,1640007,1192564,895100,718658,0,50250240,247296,431616,529920,1.0,1.7407297651778315,2.393841336817144,3.1893743715785945,3.9724166432433785
case_063,1070397,617043,448490,338258,271928,0,18823680,287232,370176,364032,1.0,1.7347202707104692,2.3866685990769025,3.1644395697958365,3.936325056632638
case_064,19116,17926,16935,16072,16072,0,57174,57242,121864,121864,1.0,1.0663840232065156,1.128786536758193,1.1893977103036335,1.1893977103036335
case_065,53068,33464,24538,23966,22977,0,855724,300856,890544,916148,1.0,1.5858235715993303,2.162686445513082,2.2143035967620794,2.309613961787875
case_066,359070,196267,144846,128719,115064,0,2021184,2295066,2372426,2445690,1.0,1.82949757218483,2.478977672838739,2.789564866103684,3.120611138149204
case_067,63834834,32108755,21639488,16587795,13419797,264449408,219499648,220745600,221991552,221533568,1.0,1.988081879848658,2.949923491720322,3.848301356509409,4.756765992808982
case_068,362095,228701,187358,171172,170197,0,3252326,3255914,3259502,3266674,1.0,1.583268109890206,1.9326369837423545,2.115386862337298,2.127505185167776
case_069,25144,21908,18665,18008,18008,0,456078,503702,503706,503706,1.0,1.1477085995983205,1.3471202785963032,1.396268325188805,1.396268325188805
case_070,117300,75454,55893,50978,46898,0,1886666,1984970,2083274,954568,1.0,1.554589551249768,2.0986527829960817,2.3009925850366826,2.5011727579001235
case_071,18919,16356,14761,14363,14363,0,321038,354068,354072,354072,1.0,1.1567009048667156,1.2816882325045729,1.3172039267562488,1.3172039267562488
case_072,23897828,15845126,11493060,7571188,7359577,108613680,261688546,233614562,232385762,232385762,1.0,1.5082131880806755,2.0793268285382656,3.1564171963501635,3.2471741242737187
case_073,10081626,5287173,4360653,3484122,3143181,141570432,137754240,137655680,111917696,114050432,1.0,1.9068084210597989,2.3119532785571337,2.8935915562084222,3.207459576779065
case_074,1682239,1056450,693574,568390,491359,6070280,18104624,14942512,14958896,14975280,1.0,1.5923507974821336,2.425464334014828,2.9596562219602736,3.423645440502769
case_075,1441809,1011157,952515,818188,773824,0,3980862,4172632,4172888,4173144,1.0,1.4259002311213789,1.5136863986393916,1.7621976856174864,1.8632260048796625
case_076,6185113,4643593,3515382,3048404,2141370,28280832,47734784,49615880,52178944,54043652,1.0,1.3319670780794095,1.7594426437866495,2.028967617153107,2.888390609749833
case_077,495320,302526,244792,188985,166614,0,3259766,4638158,4667094,4697690,1.0,1.6372807626451942,2.023432138305173,2.6209487525464983,2.9728594235778507
case_078,2296143,1080972,765122,632100,561557,12644568,15039360,14693376,15432576,15580032,1.0,2.1241466013920807,3.001015524321612,3.632562885619364,4.088886791545649
case_079,31052251,15450384,10180207,7723180,7723180,32448512,34050048,35033088,35672064,35672064,1.0,2.0098044812349,3.050257327773394,4.020656128693103,4.020656128693103
case_080,292138,222646,119704,119704,119704,548864,6930432,4263936,4263936,4263936,1.0,1.3121187894684836,2.4405032413286105,2.4405032413286105,2.4405032413286105
case_081,151795,96614,66182,52379,52379,0,811530,807488,944662,944662,1.0,1.571149108824808,2.2935994681333294,2.898012562286413,2.898012562286413
case_082,721041,457211,375126,294915,264804,0,3894114,4377220,4443548,4552362,1.0,1.5770421096605287,1.922130164264807,2.444911245613143,2.722923369737617
case_083,1057993,472408,341275,287302,277053,13934688,4187936,7032800,8893600,10754400,1.0,2.2395746896750266,3.100118672624716,3.6825117820272735,3.8187386528931286
case_084,2507412,1257025,836541,630754,505173,0,29776896,82944,101376,92160,1.0,1.9947192776595533,2.9973569735374594,3.975261353871716,4.963471919520639
case_085,3187899,2379485,2140299,2011650,1881266,0,9492140,10641880,11791620,12096030,1.0,1.3397432637734636,1.4894643225082105,1.5847185146521512,1.694549840373451
case_086,118403,91416,83924,75245,75245,0,2978098,3269108,2084406,2084406,1.0,1.2952109039992998,1.410835994471188,1.573566349923583,1.573566349923583
case_087,3974071,2242785,1591733,1387347,1221168,7902720,28326240,28326240,35818216,37435656,1.0,1.7719357851956383,2.496694483308444,2.864511185737959,3.25431963497242
case_088,243623,158945,123889,112669,107912,0,2658980,2809516,2964660,3010236,1.0,1.5327503224385794,1.966461913487073,2.1622895383823413,2.257608051004522
case_089,693092,348428,239513,193916,168448,0,1671040,2832000,3711872,3029120,1.0,1.989197194255341,2.893755245018016,3.5741867612780798,4.114575417933131
case_090,1178363,533220,432618,400988,400988,21233592,7339008,11635968,15932928,15932928,1.0,2.20990022879862,2.723795588717991,2.938649036878909,2.938649036878909
case_091,9186769,5650577,4742807,4138533,3077910,53947008,38405256,145184784,145184784,48851592,1.0,1.6258107800318444,1.936989845886624,2.219812914382947,2.9847425688210505
case_092,4815554,2091382,1425631,1116964,897210,66000096,9549600,15557600,17418400,19279200,1.0,2.3025702621520123,3.377840408913667,4.311288456924306,5.367254043089132
case_093,74205,47547,33714,26594,23720,0,114688,200704,286720,286720,1.0,1.560666288093886,2.201014415376401,2.790291043092427,3.128372681281619
case_094,94892,55265,50213,34140,29604,0,418824,1612308,759080,831012,1.0,1.7170360987967068,1.889789496743871,2.7794961921499706,3.2053776516686936
case_095,2084853,1043006,697770,527479,424998,0,221184,221184,221184,294912,1.0,1.998888788750976,2.987879960445419,3.952485312211482,4.90555955557438
case_096,84194,48294,42878,41415,41212,0,1193744,1267472,1341200,1414928,1.0,1.7433635648320702,1.9635710620831195,2.0329349269588315,2.0429486557313403
case_097,11491509,5156692,4316892,2583836,2583836,10584064,11927552,84934656,14483456,14483456,1.0,2.2284652641654765,2.661986679305389,4.447460674748707,4.447460674748707
case_098,177430,94609,94026,94026,94026,0,2386102,2386102,2386102,2386102,1.0,1.8754029743470493,1.8870312466764512,1.8870312466764512,1.8870312466764512
case_099,1622999,1599503,789639,658914,551115,5484544,10176000,16063104,16128640,16194176,1.0,1.01468956294549,2.0553683392031044,2.463142382769224,2.9449370820972027
case_100,151223,88870,82961,76975,75870,0,2442608,2516336,2590064,2663792,1.0,1.7016203443231688,1.822820361374622,1.9645729132835337,1.9931857124027943
