case,cores,status,winner,t_i_1,t_i_k,speedup_t1_over_tk,added_copy_bytes,unique_plans,official_evaluations,cache_hits,failed_candidates,run_disposition,actual_wall_time_seconds,cold_cache_estimated_wall_time_seconds,peak_worker_rss_bytes
case_031,5,success,b2a_w4,1414369,481753,2.935880004898776,17856588,6,6,0,,executed,42.02990271151066,42.02990271151066,203661312
case_032,2,success,b0,41443,27012,1.5342440396860655,266406,6,6,0,,executed,2.107696548104286,2.107696548104286,
case_032,3,success,b2a_w4,41443,25171,1.646458225735966,1045676,6,6,0,,executed,2.237785615026951,2.237785615026951,
case_032,4,success,b1,41443,21007,1.97281858428143,399580,6,6,0,,executed,2.336661634966731,2.336661634966731,
case_032,5,success,b1,41443,25085,1.6521028503089497,434434,6,6,0,,executed,2.4620484616607428,2.4620484616607428,
case_033,2,success,b1,1774196,1086331,1.6332001940476706,6924292,6,6,0,,executed,26.318739933893085,26.318739933893085,236326912
case_033,3,success,b1,1774196,724891,2.44753487075988,9530372,6,6,0,,executed,22.33997024409473,22.33997024409473,177442816
case_033,4,success,b1,1774196,538947,3.291967484743398,10082308,6,6,0,,executed,22.211748460307717,22.211748460307717,180588544
case_033,5,success,b2a_w4,1774196,821139,2.1606524595714003,29562660,6,6,0,,executed,22.13753340765834,22.13753340765834,239538176
case_034,2,success,b2a_w4,842996,596520,1.413189834372695,15055988,6,6,0,,executed,22.69019803404808,22.69019803404808,150757376
case_034,3,success,b2a_w4,842996,438919,1.920618610723163,15055988,6,6,0,,executed,22.39124789275229,22.39124789275229,169811968
case_034,4,success,b2a_w4,842996,381731,2.208350906790384,15060596,6,6,0,,executed,21.869200391694903,21.869200391694903,177434624
case_034,5,success,b2a_w4,842996,363718,2.3177186721581005,15069812,6,6,0,,executed,22.73087641969323,22.73087641969323,234528768
case_035,2,success,b2a_w4,169571,106131,1.5977518349963724,525204,6,6,0,,executed,12.17678002640605,12.17678002640605,
case_035,3,success,b2a_w4,169571,99355,1.706718333249459,529812,6,6,0,,executed,11.963668974116445,11.963668974116445,
case_035,4,success,b2a_w4,169571,98103,1.7284996381354292,534420,6,6,0,,executed,12.50013511069119,12.50013511069119,
case_035,5,success,b2a_w4,169571,97043,1.7473800274105293,534420,6,6,0,,executed,12.263935446739197,12.263935446739197,
case_036,2,success,b0,931510,467772,1.9913761405128994,8064,3,3,0,,adopted_locked_development_manifest,3.1087947000000895,3.1087947000000895,
case_036,3,success,b1,931510,390499,2.3854350459284146,147840,4,4,0,,adopted_locked_development_manifest,3.731502299999647,3.731502299999647,
case_036,4,success,b0,931510,236236,3.9431331380483923,17280,3,3,0,,adopted_locked_development_manifest,2.9295114000001377,2.9295114000001377,
case_036,5,success,b0,931510,190308,4.894749563864893,21888,3,3,0,,adopted_locked_development_manifest,2.939342399999987,2.939342399999987,
case_037,2,success,b1,210001,133437,1.5737838830309434,1595392,5,5,0,,executed,2.016999823972583,2.016999823972583,
case_037,3,success,b1,210001,91873,2.2857749284338165,1978368,5,5,0,,executed,2.092481615021825,2.092481615021825,
case_037,4,success,b1,210001,70758,2.9678764238672657,2191360,5,5,0,,executed,2.1776057798415422,2.1776057798415422,
case_037,5,success,b0,210001,46592,4.507233001373627,1925120,5,5,0,,executed,2.129036132246256,2.129036132246256,
case_038,2,success,b2a_w4,1364555,1008722,1.3527562599011422,22607872,6,6,0,,executed,66.84059035032988,66.84059035032988,219914240
case_038,3,success,b2a_w4,1364555,795870,1.7145450890220764,22706176,6,6,0,,executed,64.52124243229628,64.52124243229628,204980224
case_038,4,success,b1,1364555,754961,1.8074509809115968,10424836,6,6,0,,executed,59.88564074411988,59.88564074411988,227905536
case_038,5,success,b1,1364555,737342,1.8506405440080722,11362820,6,6,0,,executed,59.491256553679705,59.491256553679705,225992704
