case,cores,makespan_cycles,added_copy_bytes,speedup_t1_over_tk,selected_plan,reported_value_kind,officially_measured
case_043,4,286671,5522026,2.3638805459917465,inherit_k3,officially_measured_after_fallback,True
case_043,5,237206,5690482,2.856824869522693,b2a_w8,officially_measured_after_fallback,True
case_044,1,154407,4438112,1.0,single_core_baseline,officially_measured_original,True
case_044,2,87589,2915104,1.762858349792782,b2a_w4,officially_measured_original,True
case_044,3,87589,2915104,1.762858349792782,inherit_k2,officially_measured_after_fallback,True
case_044,4,87589,2915104,1.762858349792782,inherit_k2,officially_measured_after_fallback,True
case_044,5,87589,2915104,1.762858349792782,inherit_k2,officially_measured_after_fallback,True
case_045,1,125614,0,1.0,single_core_baseline,officially_measured_original,True
case_045,2,80336,217088,1.5636078470424215,b1,officially_measured_original,True
case_045,3,55620,323584,2.258432218626393,b1,officially_measured_after_fallback,True
case_045,4,44141,466944,2.845744319340296,b1,officially_measured_after_fallback,True
case_045,5,36900,450560,3.404173441734417,b1,officially_measured_after_fallback,True
case_046,1,276455,3176288,1.0,single_core_baseline,officially_measured_original,True
case_046,2,154820,3151648,1.785654308228911,b2a_w4,officially_measured_original,True
case_046,3,133612,5012448,2.069088105858756,b2a_w4,officially_measured_after_fallback,True
case_046,4,133612,5012448,2.069088105858756,inherit_k3,officially_measured_after_fallback,True
case_046,5,133612,5012448,2.069088105858756,inherit_k3,officially_measured_after_fallback,True
case_047,1,326508,0,1.0,single_core_baseline,officially_measured_original,True
case_047,2,253283,1518112,1.2891034929308325,b2a_w16,officially_measured_original,True
case_047,3,233731,1747908,1.3969392164496792,b2a_w16,officially_measured_after_fallback,True
case_047,4,217701,1801306,1.4998001846569378,b2a_w16,officially_measured_after_fallback,True
case_047,5,213351,1828066,1.530379515446377,b2a_w16,officially_measured_after_fallback,True
case_048,1,222220,0,1.0,single_core_baseline,officially_measured_original,True
case_048,2,176165,650944,1.2614310447591746,b2a_w16,officially_measured_original,True
case_048,3,163641,651072,1.3579726352197798,b2a_w16,officially_measured_after_fallback,True
case_048,4,163641,651072,1.3579726352197798,inherit_k3,officially_measured_after_fallback,True
case_048,5,163641,651072,1.3579726352197798,inherit_k3,officially_measured_after_fallback,True
case_049,1,196276,0,1.0,single_core_baseline,officially_measured_original,True
case_049,2,139420,1434798,1.4078037584277725,b2a_w8,officially_measured_original,True
case_049,3,119670,2958270,1.6401437285869471,b2a_w16,officially_measured_after_fallback,True
case_049,4,112197,1570092,1.7493872385179638,b2a_w8,officially_measured_after_fallback,True
case_049,5,106993,3030208,1.8344751525800755,b2a_w16,officially_measured_after_fallback,True
case_050,1,149690,0,1.0,single_core_baseline,officially_measured_original,True
case_050,2,98315,2499756,1.5225550526369322,b2a_w16,officially_measured_original,True
case_050,3,75193,2598792,1.990743819238493,b2a_w16,officially_measured_after_fallback,True
case_050,4,67066,2694180,2.231980437181284,b2a_w16,officially_measured_after_fallback,True
