case,cores,winner,baseline_makespan,winner_makespan,strict_improvement,official_calls,candidate_cache_hits,failures
case_042,4,mapping_locality_one_move,570008,568796,True,1,0,0
case_042,5,baseline,485853,485853,False,1,0,0
case_043,2,baseline,340755,340755,False,1,0,0
case_043,3,mapping_locality_one_move,264463,263524,True,2,0,0
case_043,4,baseline,243939,243939,False,2,0,0
case_043,5,mapping_locality_one_move,222762,222721,True,1,0,0
case_044,2,baseline,55027,55027,False,0,0,0
case_044,3,baseline,55027,55027,False,0,0,0
case_044,4,baseline,55027,55027,False,0,0,0
case_044,5,baseline,55027,55027,False,0,0,0
case_045,2,mapping_locality_one_move,78563,66813,True,1,0,0
case_045,3,baseline,43176,43176,False,1,0,0
case_045,4,mapping_locality_one_move,39561,39561,False,1,0,0
case_045,5,baseline,27098,27098,False,1,0,0
case_046,2,baseline,112634,112634,False,0,0,0
case_046,3,baseline,79812,79812,False,1,0,0
case_046,4,baseline,80768,80768,False,0,0,0
case_046,5,baseline,80768,80768,False,0,0,0
case_047,2,baseline,250172,250172,False,1,0,0
case_047,3,baseline,230391,230391,False,2,0,0
case_047,4,baseline,209240,209240,False,1,0,0
case_047,5,baseline,201403,201403,False,2,0,0
case_048,2,baseline,164258,164258,False,1,0,0
case_048,3,baseline,151760,151760,False,1,0,0
case_048,4,baseline,151760,151760,False,1,0,0
case_048,5,baseline,151760,151760,False,1,0,0
case_049,2,mapping_locality_one_move,120478,120187,True,1,0,0
case_049,3,mapping_locality_one_move,97823,97465,True,1,0,0
case_049,4,mapping_locality_one_move,85578,85545,True,1,0,0
case_049,5,mapping_balanced_one_move,83290,83283,True,2,0,0
case_050,2,baseline,81210,81210,False,1,0,0
case_050,3,mapping_locality_one_move,53236,53031,True,1,0,0
case_050,4,mapping_locality_one_move,43854,43595,True,1,0,0
case_050,5,baseline,39562,39562,False,1,0,0
case_051,2,baseline,607628,607628,False,0,0,0
case_051,3,baseline,607628,607628,False,0,0,0
case_051,4,baseline,607628,607628,False,0,0,0
case_051,5,baseline,607628,607628,False,0,0,0
case_052,2,baseline,96545,96545,False,1,0,0
case_052,3,baseline,69389,69389,False,1,0,0
case_052,4,mapping_locality_one_move,59151,58545,True,1,0,0
case_052,5,baseline,55471,55471,False,1,0,0
case_053,2,mapping_locality_one_move,759149,740832,True,1,0,0
case_053,3,mapping_locality_one_move,584699,541298,True,1,0,0
case_053,4,baseline,492668,492668,False,0,0,0
case_053,5,mapping_balanced_one_move,465737,465737,False,2,0,0
case_054,2,baseline,485507,485507,False,0,0,0
case_054,3,baseline,386718,386718,False,1,0,0
case_054,4,baseline,331197,331197,False,1,0,0
case_054,5,baseline,271436,271436,False,1,0,0
case_055,2,baseline,62412,62412,False,1,0,0
case_055,3,mapping_locality_one_move,48301,44402,True,1,0,0
case_055,4,mapping_locality_one_move,40884,38545,True,1,0,0
case_055,5,mapping_locality_one_move,34895,33956,True,1,0,0
case_056,2,baseline,186986,186986,False,1,0,0
case_056,3,baseline,149107,149107,False,1,0,0
case_056,4,mapping_locality_one_move,134333,134333,False,2,0,0
case_056,5,mapping_locality_one_move,134333,134333,False,2,0,0
case_057,2,mapping_locality_one_move,31115,30104,True,1,0,0
case_057,3,mapping_locality_one_move,21456,21456,False,1,0,0
case_057,4,baseline,16619,16619,False,1,0,0
case_057,5,baseline,16619,16619,False,1,0,0
case_058,2,baseline,3621089,3621089,False,0,0,0
case_058,3,baseline,1506765,1506765,False,1,0,0
case_058,4,baseline,1506765,1506765,False,1,0,0
case_058,5,baseline,915736,915736,False,1,0,0
case_059,2,baseline,410916,410916,False,0,0,0
case_059,3,baseline,351835,351835,False,0,0,0
case_059,4,baseline,185216,185216,False,0,0,0
case_059,5,baseline,185216,185216,False,0,0,0
case_060,2,baseline,524719,524719,False,1,0,0
case_060,3,mapping_locality_one_move,427594,423570,True,1,0,0
case_060,4,baseline,348914,348914,False,1,0,0
case_060,5,mapping_locality_one_move,306008,274503,True,1,0,0
case_061,2,baseline,46314,46314,False,1,0,0
case_061,3,baseline,33172,33172,False,1,0,0
case_061,4,baseline,30975,30975,False,1,0,0
case_061,5,baseline,30639,30639,False,1,0,0
case_062,2,baseline,1784824,1784824,False,0,0,0
case_062,3,baseline,1189955,1189955,False,1,0,0
case_062,4,mapping_locality_one_move,892782,892170,True,1,0,0
case_062,5,baseline,715381,715381,False,1,0,0
case_063,2,baseline,637833,637833,False,0,0,0
case_063,3,baseline,446447,446447,False,1,0,0
case_063,4,mapping_locality_one_move,335694,335694,False,1,0,0
case_063,5,baseline,266761,266761,False,2,0,0
case_064,2,baseline,13970,13970,False,1,0,0
case_064,3,baseline,11582,11582,False,1,0,0
case_064,4,baseline,11821,11821,False,1,0,0
case_064,5,baseline,11821,11821,False,1,0,0
case_065,2,baseline,29025,29025,False,1,0,0
case_065,3,baseline,20606,20606,False,1,0,0
case_065,4,baseline,17844,17844,False,1,0,0
case_065,5,baseline,17844,17844,False,1,0,0
case_066,2,baseline,185656,185656,False,1,0,0
case_066,3,baseline,131549,131549,False,1,0,0
case_066,4,mapping_locality_one_move,99552,98861,True,1,0,0
case_066,5,mapping_locality_one_move,91786,91786,False,1,0,0
case_067,2,baseline,32116988,32116988,False,0,0,0
case_067,3,baseline,21555677,21555677,False,0,0,0
case_067,4,baseline,16060080,16060080,False,0,0,0
case_067,5,baseline,12878522,12878522,False,1,0,0
case_068,2,baseline,203899,203899,False,1,0,0
case_068,3,mapping_locality_one_move,164663,164614,True,1,0,0
case_068,4,baseline,136354,136354,False,1,0,0
case_068,5,baseline,136354,136354,False,1,0,0
case_069,2,baseline,16288,16288,False,1,0,0
case_069,3,baseline,13740,13740,False,1,0,0
case_069,4,baseline,13740,13740,False,1,0,0
case_069,5,baseline,13740,13740,False,1,0,0
case_070,2,baseline,65978,65978,False,1,0,0
case_070,3,mapping_locality_one_move,45278,45112,True,1,0,0
case_070,4,mapping_locality_one_move,40683,39492,True,1,0,0
case_070,5,baseline,37765,37765,False,1,0,0
case_071,2,baseline,12631,12631,False,1,0,0
case_071,3,baseline,10300,10300,False,1,0,0
case_071,4,baseline,10300,10300,False,1,0,0
case_071,5,baseline,10300,10300,False,1,0,0
case_072,2,baseline,14311602,14311602,False,1,0,0
case_072,3,baseline,10386798,10386798,False,1,0,0
case_072,4,baseline,7583813,7583813,False,1,0,0
case_072,5,baseline,7100083,7100083,False,1,0,0
case_073,2,baseline,5135220,5135220,False,0,0,0
case_073,3,baseline,4269593,4269593,False,0,0,0
case_073,4,baseline,2699606,2699606,False,0,0,0
case_073,5,baseline,2798206,2798206,False,1,0,0
case_074,2,baseline,924834,924834,False,1,0,0
case_074,3,baseline,661625,661625,False,1,0,0
case_074,4,baseline,526124,526124,False,1,0,0
case_074,5,baseline,431365,431365,False,1,0,0
