case,cores,plan_sha256,graph_sha256,no_l2_source,same_core_speedup,no_l2_makespan,no_l2_added_copy_bytes,no_l2_scheduled_copy_bytes,no_l2_spill_added_copy_bytes,no_l2_partition_added_copy_bytes,no_l2_cross_task_traffic_bytes,no_l2_cross_core_transfer_count,no_l2_copy_in_hits,no_l2_copy_in_misses,no_l2_cache_hit_bytes,no_l2_cache_miss_bytes,no_l2_cache_hit_rate_bytes,l2_makespan,l2_added_copy_bytes,l2_scheduled_copy_bytes,l2_spill_added_copy_bytes,l2_partition_added_copy_bytes,l2_cross_task_traffic_bytes,l2_cross_core_transfer_count,l2_copy_in_hits,l2_copy_in_misses,l2_cache_hit_bytes,l2_cache_miss_bytes,l2_cache_hit_rate_bytes
case_029,1,1eea4b77c66f467cece1e811b06292dc0f6cb97aa26070c30fb25bafdc46c74e,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,stage1_verified_reuse,1.0,37555,0,430164,0,0,0,0,,,,,,37555,0,430164,0,0,0,0,0,168,0,258132,0.0
case_029,2,0c985da2a1bf5d31325835a1f6f8809442f43a15fe7101a9a6617a84ea2b953e,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,stage1_verified_reuse,1.007842757552285,20818,778492,1208656,0,778492,344190,231,,,,,,20656,778492,1208656,0,778492,344190,231,44,399,90112,602322,0.1301380348163146
case_029,3,0343865167e31cc6c662040aa894a01dbb9d9c255e8cce94357f5520f6aac5bd,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,stage1_verified_reuse,1.0,12743,0,430164,0,0,0,0,,,,,,12743,0,430164,0,0,0,0,0,168,0,258132,0.0
case_029,4,0de7c170e3b1b8152799df7146b238a0128453f8713b2c83fd85efcfdde1fc28,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,stage1_verified_reuse,1.0563884724304515,12683,292992,723156,0,292992,75824,61,,,,,,12006,292992,723156,0,292992,75824,61,78,236,127008,348292,0.2672164948453608
case_029,5,ab2ef5bb365b45b4a634a4b723014f24500c1c5f4f7186c3922335dc67b6f512,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,stage1_verified_reuse,1.0563884724304515,12683,292992,723156,0,292992,75824,61,,,,,,12006,292992,723156,0,292992,75824,61,78,236,127008,348292,0.2672164948453608
case_030,1,bed511cb0f432bf02c1b67f94a49cfadb6964d628e4100e6b9c991961e17474e,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,stage1_verified_reuse,1.0000509279028282,2808034,5519360,7913420,5519360,0,0,0,,,,,,2807891,5519360,7913420,5519360,0,0,0,699,1750,2056192,5856256,0.259867995341012
case_030,2,50aa7e9cac0231481ad2ec8f8cc258a30fb0f03cb042cd84c9101de2ef8953a9,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,stage1_verified_reuse,1.0,2079367,62935040,65329100,27154432,35780608,17890304,3696,,,,,,2079367,62935040,65329100,27154432,35780608,17890304,3696,4,7266,16384,33868800,0.00048351515517814514
case_030,3,dd42a04027b7e4f5beadfe01101889a2fa4b5a861a770d5c8a150f053df04449,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,stage1_verified_reuse,1.0,1580290,60070912,62464972,12669952,47400960,23700480,4898,,,,,,1580290,60070912,62464972,12669952,47400960,23700480,4898,0,6950,0,32428544,0.0
case_030,4,0e24d11f327fc614a81b35fcd074f1de10375d42ce430a49d9b2d9707c030f61,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,stage1_verified_reuse,1.0,1344466,59923456,62317516,11955200,47968256,23979520,4986,,,,,,1344466,59923456,62317516,11955200,47968256,23979520,4986,2,6959,9216,32350208,0.000284801113888801
case_030,5,e2f33a69fbca2a7d3a55e45901a3dfaab0fbaa6b974311c13e0754a5ff093570,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,stage1_verified_reuse,1.0,1344466,59923456,62317516,11955200,47968256,23979520,4986,,,,,,1344466,59923456,62317516,11955200,47968256,23979520,4986,2,6959,9216,32350208,0.000284801113888801
case_031,1,126e96eff01b3c1db5de662ecd8bd02dcd72d548ac3255120608e40d19b693e1,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,stage1_verified_reuse,1.0001484981533193,1414369,3491328,5676368,3491328,0,0,0,,,,,,1414159,3491328,5676368,3491328,0,0,0,343,1003,1479168,4196980,0.26059362793218216
case_031,2,e07fcfcaf2c00390f12472d9fa2fba88c0da9579249f8dd747b39400996fc4cd,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,stage1_verified_reuse,1.0002331589304534,857984,15429704,17614744,6500224,8929480,4422754,1118,,,,,,857784,15429704,17614744,6500224,8929480,4422754,1118,15,2496,33284,9920662,0.0033437995343756134
case_031,3,6ed7f892826157dde6cf5eff906652409752af16d43f537e93f3ed8056bb3564,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,stage1_verified_reuse,1.0,657311,14732488,16917528,2844352,11888136,5876226,1483,,,,,,657311,14732488,16917528,2844352,11888136,5876226,1483,15,2428,50948,9575510,0.00529249699110514
case_031,4,6b39001998e8b94fcfd10b530dbb07a5cbe0b19d154da95d427b7813015e90df,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,stage1_verified_reuse,1.000097399617519,533935,13832164,16017204,591104,13241060,6530034,1647,,,,,,533883,13832164,16017204,591104,13241060,6530034,1647,17,2308,73728,9121126,0.008018398117033724
case_031,5,ca382fb3ead19f0463ceccaad9506810a2fe1d1839adc18203cca69b3089fe73,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,stage1_verified_reuse,1.0000846025572236,449197,14569512,16754552,499712,14069800,6923922,1753,,,,,,449159,14569512,16754552,499712,14069800,6923922,1753,10,2417,55296,9525258,0.005771691282153412
case_032,1,83348b05eee2296608cd724ec5b2cadb54c269a971f8e8b65a9a7a8855313104,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,stage1_verified_reuse,1.0,41443,0,293088,0,0,0,0,,,,,,41443,0,293088,0,0,0,0,0,151,0,279156,0.0
case_032,2,9201eb39635c98db2f9a58822d9d7cd30735011bc1c7e4b5c19b944872db4e4f,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,stage1_verified_reuse,1.004792255714765,20967,417080,710168,0,417080,168092,111,,,,,,20867,417080,710168,0,417080,168092,111,28,262,80896,447248,0.15317034748099004
case_032,3,27d1db9836e862769121890462ed8c330e1e6c04f78c4a8b788c71954380e00e,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,stage1_verified_reuse,1.1324911868390128,19275,559060,852148,0,559060,223978,163,,,,,,17020,559060,852148,0,559060,223978,163,44,314,111104,503134,0.1808810265727617
case_032,4,07e31934bf9691be69d92119006f3f2e6f4547a72531e8036d4bea6259c59e51,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,stage1_verified_reuse,1.0,17051,163950,457038,0,163950,36916,42,,,,,,17051,163950,457038,0,163950,36916,42,41,192,86026,320164,0.21178758708978557
case_032,5,d501ad781a5ef1443df1cd82618e89db2c241ab6c767365bfaf88efe891d42b6,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,stage1_verified_reuse,1.0,17051,163950,457038,0,163950,36916,42,,,,,,17051,163950,457038,0,163950,36916,42,41,192,86026,320164,0.21178758708978557
case_033,1,0461256ec7a6fe061d3a7e2175171d1040703f624033a8efa72bc3be0f2267e1,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,stage1_verified_reuse,1.000065386002886,1774196,4592640,7565550,4592640,0,0,0,,,,,,1774080,4592640,7565550,4592640,0,0,0,120,1220,720384,6762032,0.09627692445862406
case_033,2,116d2f89c80a4907d02791e86be9f4e66040c2933967692fe2baed3b8cfa632e,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,stage1_verified_reuse,1.0008900931265639,1096366,5084160,8057070,2752512,2331648,313344,51,,,,,,1095391,5084160,8057070,2752512,2331648,313344,51,363,951,2021376,5393456,0.2726125150239412
case_033,3,73400296263b237cc40295982102090bc59e7ffde658fdd5af343e2ad4a04c9a,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,stage1_verified_reuse,1.0004524390211254,747400,6608900,9581810,1961472,4647428,653314,107,,,,,,747062,6608900,9581810,1961472,4647428,653314,107,319,1216,1738752,6922290,0.20075552110242625
case_033,4,6ee699d9fc7ea167a20ba85506e8614d3f5f836bc7352d62229a84e141991a1e,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,stage1_verified_reuse,1.0134388122429674,561362,7299076,10271986,1371648,5927428,1024002,161,,,,,,553918,7299076,10271986,1371648,5927428,1024002,161,390,1219,2108928,6939186,0.2330792914412882
case_033,5,185c8f9e04f2563f87d8a2853e5f5a3a58c993a28d423c4a39d7b8f8232ff18b,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,stage1_verified_reuse,1.0134388122429674,561362,7299076,10271986,1371648,5927428,1024002,161,,,,,,553918,7299076,10271986,1371648,5927428,1024002,161,390,1219,2108928,6939186,0.2330792914412882
case_034,1,19cc9b471b4253917b1c1297fdd194752c0b66e79fb6ba807872ddea5abcb489,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,stage1_verified_reuse,1.0003120798639664,842996,1079832,3360218,1079832,0,0,0,,,,,,842733,1079832,3360218,1079832,0,0,0,252,615,1038336,2321468,0.309046599146855
case_034,2,273e72ec19c92160c537da42b03701be84f3eda105532977bc0c48dfbfaad3c8,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,stage1_verified_reuse,1.0000931891520517,547325,12242376,14522762,4630624,7611752,3714228,969,,,,,,547274,12242376,14522762,4630624,7611752,3714228,969,22,2126,144384,8488724,0.01672445195866888
case_034,3,9ac3b043f9d22897c1cd8576dce4b028c9356676d2afc91de5d66469d6af993a,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,stage1_verified_reuse,1.0027361714153584,390295,11452144,13732530,1393736,10058408,4878676,1272,,,,,,389230,11452144,13732530,1393736,10058408,4878676,1272,18,2085,133120,8107944,0.016153253997299378
case_034,4,db36216bd5110367a63751356d919a4ef3e8e59f21a5421692109a41fbf6df1e,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,stage1_verified_reuse,1.000053242466191,338094,11977968,14258354,439368,11538600,5584212,1438,,,,,,338076,11977968,14258354,439368,11538600,5584212,1438,6,2152,24064,8448936,0.0028400802549274165
case_034,5,0dfd54abfb524bf179d5cac23214a25a5286bb4dc4c10d3e180d477a7d4527fa,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,stage1_verified_reuse,1.0075243378754852,292576,12138512,14418898,287772,11850740,5707002,1498,,,,,,290391,12138512,14418898,287772,11850740,5707002,1498,9,2194,55808,8537912,0.006494044488300759
case_035,1,43201822fd833e40039e2a07a60c49325d3a15aa5f121c0c1082f55e586f5f29,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,stage1_verified_reuse,1.0,169571,0,410854,0,0,0,0,,,,,,169571,0,410854,0,0,0,0,0,301,0,396878,0.0
case_035,2,25f05d57a302495ec92e317e7a309b619abc6086d072935496c58d7d1c69297b,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,stage1_verified_reuse,1.0,105261,43008,453862,0,43008,21504,21,,,,,,105261,43008,453862,0,43008,21504,21,0,322,0,418382,0.0
case_035,3,4b0e70a9980500e6fc1c97b1efb1824bedae5cc21a2c173621d0b8b61432b640,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,stage1_verified_reuse,1.0,98946,167936,578790,0,167936,79872,74,,,,,,98946,167936,578790,0,167936,79872,74,1,375,8192,476750,0.01689274181242293
case_035,4,29dc72e60ab0cc2ad181de950a86ab0d2f3e55efbcffe0bcf4cb7c0c9a0688a4,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,stage1_verified_reuse,1.0251565582911555,95602,1417128,1827982,0,1417128,567758,514,,,,,,93256,1417128,1827982,0,1417128,567758,514,143,791,293904,952344,0.23583107054133687
case_035,5,117c549b3f26bcf8c50f7a8f06ab8b28c7c5630fe20537f66c82841eebe17e21,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,stage1_verified_reuse,1.0251565582911555,95602,1417128,1827982,0,1417128,567758,514,,,,,,93256,1417128,1827982,0,1417128,567758,514,143,791,293904,952344,0.23583107054133687
case_036,1,8c131ad0dfb252dc26f956f6fa867096f91862e58a5cb371718e576432bc8999,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,stage1_verified_reuse,1.0,931510,0,6554752,0,0,0,0,,,,,,931510,0,6554752,0,0,0,0,0,801,0,3277952,0.0
case_036,2,72dbab6182e4f32494744cc5a7ac9b9d66d6764ea168edb0a95c72deedf9c45f,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,stage1_verified_reuse,1.0,466068,1152,6555904,0,1152,0,0,,,,,,466068,1152,6555904,0,1152,0,0,0,802,0,3279104,0.0
case_036,3,350d077dbcc838643f64ca3a4c675b70e72c7ed3770717410601ce90c7925d46,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,stage1_verified_reuse,1.0,388000,88320,6643072,0,88320,28672,7,,,,,,388000,88320,6643072,0,88320,28672,7,3,814,12288,3325312,0.003681687440076702
case_036,4,adf53c97d0a148d237e0c37c7447b6b77203796277d54e5b02c190eec5f1a296,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,stage1_verified_reuse,1.0,233584,3456,6558208,0,3456,0,0,,,,,,233584,3456,6558208,0,3456,0,0,0,804,0,3281408,0.0
case_036,5,803babb8e35957c1c5d884c1b53d4f1ce1641c00d3022b19186a7cf6e12fb23e,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,stage1_verified_reuse,1.0,187182,4608,6559360,0,4608,0,0,,,,,,187182,4608,6559360,0,4608,0,0,0,805,0,3282560,0.0
case_037,1,63d46275baf2c0ca59542635cd8214bd79425c5056d8f109b3090fcd1ad93847,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,stage1_verified_reuse,1.0,210001,0,614400,0,0,0,0,,,,,,210001,0,614400,0,0,0,0,0,180,0,532480,0.0
case_037,2,14979b5956ff45d0f5d878a7149cfa28f8776068c0542787724fa3e41fe266db,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,stage1_verified_reuse,1.0,125692,1966080,2580480,0,1966080,983040,240,,,,,,125692,1966080,2580480,0,1966080,983040,240,0,420,0,1515520,0.0
case_037,3,2be12eb42cfa3561ea03680fe4484dc3039efbc30a00411cec403516d4c412ea,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,stage1_verified_reuse,1.0011030172116644,87130,1105920,1720320,0,1105920,176128,43,,,,,,87034,1105920,1720320,0,1105920,176128,43,218,237,704512,757760,0.48179271708683474
case_037,4,892882a51c9fc41ce3ac885e6421f7af98f14f3591642c39c1bafb5f28b1d235,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,stage1_verified_reuse,1.016019152048944,68753,1527808,2142208,0,1527808,253952,62,,,,,,67669,1527808,2142208,0,1527808,253952,62,288,267,925696,880640,0.5124716553287982
case_037,5,bcebf8bf0ac7c19c527a18d49464890aed96ed6a4bafa97495c3d9b76119b921,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,stage1_verified_reuse,1.0182967939925138,43800,1925120,2539520,0,1925120,0,0,,,,,,43013,1925120,2539520,0,1925120,0,0,471,329,1579008,878592,0.6425
case_038,1,8f5c3e3c84763a2a5e2ebb7436efdc0d8ec7a8cc8d35564e8f26bb776d9f4e48,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,stage1_verified_reuse,1.0009117502083162,1364555,5627904,8430854,5627904,0,0,0,,,,,,1363312,5627904,8430854,5627904,0,0,0,377,2010,1462272,6960138,0.1736168151396097
case_038,2,5fcea7703bd244a2041681e5c4812380e8e0a35dc678558c9041b9c98a08fc26,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,stage1_verified_reuse,1.0,933300,17434112,20237062,6265344,11168768,5490688,2104,,,,,,933300,17434112,20237062,6265344,11168768,5490688,2104,32,4147,117760,11584010,0.010063434847890533
case_038,3,46097a2f6f2dfd1d94f9ae203c159b877fdb170e9ae64307d293786cfd8198cb,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,stage1_verified_reuse,0.9999785492116835,699260,17637888,20440838,3589632,14048256,6893568,2679,,,,,,699275,17637888,20440838,3589632,14048256,6893568,2679,20,4226,145920,11682826,0.012336049823032805
case_038,4,86701452088665ffcaf630fb470c7e84fd04797c33a10e54638760f7af3fc327,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,stage1_verified_reuse,1.0051696092447504,693950,18244096,21047046,2015744,16228352,7908352,3048,,,,,,690381,18244096,21047046,2015744,16228352,7908352,3048,92,4323,404992,11965450,0.0327386846807899
case_038,5,2f443d5b230934ceabe2dc9587c6977086bf18bf28ed81d89afe2a19bf96fb3e,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,stage1_verified_reuse,1.0051696092447504,693950,18244096,21047046,2015744,16228352,7908352,3048,,,,,,690381,18244096,21047046,2015744,16228352,7908352,3048,92,4323,404992,11965450,0.0327386846807899
case_039,1,dac9aa0dddfc1796efda0c933d0a650fee6dbc3977c653a543b26b2ae2e70179,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,stage1_verified_reuse,1.0,1435262,7929856,12419072,7929856,0,0,0,,,,,,1435262,7929856,12419072,7929856,0,0,0,0,2582,0,12132352,0.0
case_039,2,f192cf2892d35e8cf80aab6c4d5155d8050f1a103ff964b320d73b1097e3fbf8,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,stage1_verified_reuse,1.000349017146912,865589,12152832,16642048,5165056,6987776,2916352,712,,,,,,865287,12152832,16642048,5165056,6987776,2916352,712,300,2035,1425408,9986048,0.1249102656137832
case_039,3,e5888d98617d686b59d9ef1ae17fc8f67fecc10a5426a0e5e46b884a09d53a9a,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,stage1_verified_reuse,1.006309707018206,693126,12627968,17117184,5459968,7168000,2433024,594,,,,,,688780,12627968,17117184,5459968,7168000,2433024,594,444,2067,2035712,10280960,0.16528101097439307
case_039,4,e17703ec34439cbeba4c0fa1ed41d1f6bdd31078ebb9e451fcb4eb21294f1cc6,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,stage1_verified_reuse,1.0401685382789119,558169,13959168,18448384,3604480,10354688,3403776,831,,,,,,536614,13959168,18448384,3604480,10354688,3403776,831,593,2184,2613248,10887168,0.19356796116504854
case_039,5,3fd7dbf6678ae5e9c21f03df69a832d10cf1045a3acbe60970bd09c414717bea,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed,stage1_verified_reuse,1.0555113292064209,533010,14618624,19107840,1183744,13434880,4239360,1035,,,,,,504978,14618624,19107840,1183744,13434880,4239360,1035,694,2192,3219456,10952704,0.22716763005780347
case_040,1,2f3989071fd3e245c82304c86e2c391712466180edb5a6cf8553661950ff9992,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,stage1_verified_reuse,1.0,253454,0,911238,0,0,0,0,,,,,,253454,0,911238,0,0,0,0,0,266,0,911174,0.0
case_040,2,87288c92de4519dcd4ebfbce73a72a714516cf36e692ec401858ecbc6ed8639e,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,stage1_verified_reuse,1.0,145181,179566,1090804,0,179566,34998,38,,,,,,145181,179566,1090804,0,179566,34998,38,18,304,109570,946172,0.10378482621701135
case_040,3,7560b35c6565a1956af3ce312f5f93783456eafea742bfadbd9a579fa82f7e60,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,stage1_verified_reuse,1.0007541833608296,127386,300988,1212226,0,300988,56286,99,,,,,,127290,300988,1212226,0,300988,56286,99,20,368,182272,973604,0.1576916555063
case_040,4,265b955c8a460ffffcb4941cd1fb585343df2d959557e084aeca5d26f7f6b24c,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,stage1_verified_reuse,1.0033014249532703,123991,436288,1347526,0,436288,105504,107,,,,,,123583,436288,1347526,0,436288,105504,107,27,377,217088,1024870,0.1747949608601901
case_040,5,30f9fba30b57ca7d7005b5ae245f4fdf60a534eebe9aa7d7b0c5e6c57e91df50,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57,stage1_verified_reuse,1.0056475282788642,121977,479102,1390340,0,479102,108990,55,,,,,,121292,479102,1390340,0,479102,108990,55,42,323,257026,1024260,0.20060002216523087
case_041,1,ab5c67b7b2f8e6bf5fc8e0b879f66cfc4fd5c823fa6c1a4930e6b7dec827e636,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,stage1_verified_reuse,1.0003968958148486,6003957,30898176,35848156,30898176,0,0,0,,,,,,6001575,30898176,35848156,30898176,0,0,0,719,6611,3643392,32203776,0.10163681549404405
case_041,2,597848e9d545665bbaea6e08ea8b1d8269017d60bcf1ee7b64b888277303bd11,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,stage1_verified_reuse,1.0009543445038163,3714990,24925192,29875172,17703936,7221256,1826820,448,,,,,,3711448,24925192,29875172,17703936,7221256,1826820,448,613,4880,3330048,23250948,0.12527927847398945
case_041,3,a54b248a746a98f28a675d08ba82f2b78f5bb2113ee879a3a070a75f3b017e9c,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,stage1_verified_reuse,1.0001946218388706,3304486,103015436,107965416,29940736,73074700,36517894,8923,,,,,,3303843,103015436,107965416,29940736,73074700,36517894,8923,25,13835,89088,57537542,0.0015459519322924141
case_041,4,acb83f9004785972e2f77f49630231c0007b9c0fdde39e8fd4da0cfad443d6ff,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,stage1_verified_reuse,1.0000271388520265,2174064,28411908,33361888,11627520,16784388,2441218,597,,,,,,2174005,28411908,33361888,11627520,16784388,2441218,597,920,5401,4429824,25625602,0.14738849484282804
case_041,5,e97a058a49270079a2c02f9bd3ce95c7fb4e74cf95a0102d7797258ba305b92f,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,stage1_verified_reuse,1.0093937528556436,2112003,30204936,35154916,12973056,17231880,2777092,680,,,,,,2092348,30204936,35154916,12973056,17231880,2777092,680,1153,5440,5984256,25786372,0.18835812751324904
case_042,1,d2081ece83d9033de97343585d9baf2b53075a3d221e902604363fffe703b529,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,stage1_verified_reuse,1.0066285397816825,1686740,6629376,9018340,6629376,0,0,0,,,,,,1675633,6629376,9018340,6629376,0,0,0,551,1348,2866176,6127392,0.3186917583766532
case_042,2,1e4c61d813b50290b7829b03ab0468b7c11da1c413edb6fe7058e3760969278a,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,stage1_verified_reuse,0.999998987765117,987912,17884172,20273136,8314372,9569800,4651012,1106,,,,,,987913,17884172,20273136,8314372,9569800,4651012,1106,21,2664,83712,11402278,0.007288183256297455
case_042,3,83a2d5b4e181bc27aa71c4ef103f9e5bd16a3250e7d6f9d9318831af7efa0b2b,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,stage1_verified_reuse,1.000537588733477,718407,17628444,20017408,4913796,12714648,6273036,1504,,,,,,718021,17628444,20017408,4913796,12714648,6273036,1504,15,2623,75904,11234734,0.006710850440090117
case_042,4,fc515f22868e8c7756f17e34c57f6ea9d0f180d120aa3ca18c07335d928c0bb4,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,stage1_verified_reuse,1.0013578756789379,570782,16601372,18990336,2203648,14397724,7019534,1687,,,,,,570008,16601372,18990336,2203648,14397724,7019534,1687,16,2488,93440,10750766,0.008616582901505191
case_042,5,fa7830a63086ed77295211865c26b047457a696e58d87ad1849c2bed508696e2,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5,stage1_verified_reuse,1.00198413923553,486817,15667992,18056956,598016,15069976,7304204,1788,,,,,,485853,15667992,18056956,598016,15069976,7304204,1788,23,2386,203136,10229932,0.01947039931111347
case_043,1,206834cfb1ea06a7ceafe7103b66b688311a31506fa5a9031848087f753ccc84,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,stage1_verified_reuse,1.0,677656,49160,1480282,49160,0,0,0,,,,,,677656,49160,1480282,49160,0,0,0,6,386,49152,1431000,0.03320740032104811
case_043,2,117d58f311bd100a2deaad4fea3b14f25866f585cb870adb00f7d0014849643c,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,stage1_verified_reuse,1.0001614062889759,340810,1173006,2604128,98304,1074702,451334,253,,,,,,340755,1173006,2604128,98304,1074702,451334,253,46,646,169984,1933532,0.08080946377398603
case_043,3,ce5698687f41c84a3c884f3878dc56dd75f91677d4794865a39fa66ce98bf5e2,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,stage1_verified_reuse,1.0001058749239025,264491,3342112,4773234,229412,3112700,1461814,930,,,,,,264463,3342112,4773234,229412,3112700,1461814,930,82,1307,272890,2964658,0.08428909779870446
case_043,4,2821bdadc3f7039637489aad3a454b6d45b6e9015e0cba411be4aa93dc1143f6,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,stage1_verified_reuse,1.017272441305156,249011,5862672,7293794,83916,5778756,2532438,1748,,,,,,244783,5862672,7293794,83916,5778756,2532438,1748,272,2008,860736,3875432,0.18173679649877283
case_043,5,cfa3a19cc20d2ab693641fc20e97c0fb7832adf6c37568c5013257aa414c59d5,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,stage1_verified_reuse,0.9993580592740234,222619,4305042,5736164,0,4305042,1947008,1172,,,,,,222762,4305042,5736164,0,4305042,1947008,1172,128,1513,355420,3433610,0.09380237158322842
case_044,1,b3a3d432d31479494edec684578b81a56b8d294b44a2049ede0aaefb991fe351,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,stage1_verified_reuse,1.4321609438477378,154407,4438112,5413568,4438112,0,0,0,,,,,,107814,4438112,5413568,4438112,0,0,0,216,75,4408416,967776,0.8199885718367201
