case,cores,plan_sha256,graph_sha256,no_l2_source,same_core_speedup,no_l2_makespan,no_l2_added_copy_bytes,no_l2_scheduled_copy_bytes,no_l2_spill_added_copy_bytes,no_l2_partition_added_copy_bytes,no_l2_cross_task_traffic_bytes,no_l2_cross_core_transfer_count,no_l2_copy_in_hits,no_l2_copy_in_misses,no_l2_cache_hit_bytes,no_l2_cache_miss_bytes,no_l2_cache_hit_rate_bytes,l2_makespan,l2_added_copy_bytes,l2_scheduled_copy_bytes,l2_spill_added_copy_bytes,l2_partition_added_copy_bytes,l2_cross_task_traffic_bytes,l2_cross_core_transfer_count,l2_copy_in_hits,l2_copy_in_misses,l2_cache_hit_bytes,l2_cache_miss_bytes,l2_cache_hit_rate_bytes
case_007,2,90f67faed18523511ff046a6c0e1f074c7fb4a9d6473a32e5922504dc3f9743f,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,stage1_verified_reuse,1.0,618914,2987520,4720128,1536000,1451520,569856,186,,,,,,618914,2987520,4720128,1536000,1451520,569856,186,53,1129,96768,2433024,0.03825136612021858
case_007,3,b507c430b3323728e254300abbf0fbde2ed7b701c82e558731a8d0e4fc09c7f4,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,stage1_verified_reuse,1.0,425650,3151872,4884480,743424,2408448,941568,308,,,,,,425650,3151872,4884480,743424,2408448,941568,308,159,1140,274944,2443776,0.10112994350282486
case_007,4,c860e623b3141c9ae130d4ae06902d65e5b256c7027bbbd840bef5f048fae2e7,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,stage1_verified_reuse,1.0,326138,3319296,5051904,215040,3104256,1208832,396,,,,,,326138,3319296,5051904,215040,3104256,1208832,396,211,1180,354816,2528256,0.12306872669152903
case_007,5,e56f9af722bd21019f1e0bbc14ffc5d17e7a81ca3500b39c0f9e11d713b066be,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,stage1_verified_reuse,1.0,203834,110592,1843200,0,110592,0,0,,,,,,203834,110592,1843200,0,110592,0,0,0,570,0,990720,0.0
case_008,1,9e837531d5fc299623938b51cd3f5363fd3b18cedeafa36ff575eb419ad17f94,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,stage1_verified_reuse,1.0,487605,0,2654424,0,0,0,0,,,,,,487605,0,2654424,0,0,0,0,0,432,0,1990872,0.0
case_008,2,a608a302eb416e0e9ec70cd5e40f511450ba1d12b7cb727a657235a8f99eb39b,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,stage1_verified_reuse,1.0,242226,0,2654424,0,0,0,0,,,,,,242226,0,2654424,0,0,0,0,0,432,0,1990872,0.0
case_008,3,8f03e3094461ad345880e1fccac2e8878c80b44e7cddd6866fa1ded1061c5a2a,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,stage1_verified_reuse,1.0,163359,0,2654424,0,0,0,0,,,,,,163359,0,2654424,0,0,0,0,0,432,0,1990872,0.0
case_008,4,14ad84634feab30419611c476280076f143391b339f108cb76a0ed059cdaf841,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,stage1_verified_reuse,1.0,123060,0,2654424,0,0,0,0,,,,,,123060,0,2654424,0,0,0,0,0,432,0,1990872,0.0
case_008,5,4dff37708ed84c6a0d95d05c2f0d7331dfd7c79f515ea99069e2b2a9d6670846,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,stage1_verified_reuse,1.0,111071,518784,3173208,0,518784,259392,21,,,,,,111071,518784,3173208,0,518784,259392,21,0,453,0,2250264,0.0
case_009,1,3eb4d1451332199a40830977b5bfaadeb4b0199ac5531752766b9415c783fab2,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,stage1_verified_reuse,1.0,153261,0,495332,0,0,0,0,,,,,,153261,0,495332,0,0,0,0,0,318,0,495194,0.0
case_009,2,fccb30475d4b7118fb81d088a61ebbb9da80c803c05c84c974f98efb169324c3,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,stage1_verified_reuse,1.0,102725,100408,595740,0,100408,33308,52,,,,,,102725,100408,595740,0,100408,33308,52,8,370,33792,528502,0.060096675404681534
